Team,Date,Comp,Venue,Result,GF,GA,Opponent,Referee,season,Resultado
Real Madrid CF,1/5/2022,Copa del Rey,Away,W,3,1,Alcoyano,Adrián Cordero,21/22,Victoria
Real Madrid CF,1/8/2022,La Liga,Home,W,4,1,Valencia,Alejandro Hernández,21/22,Victoria
Real Madrid CF,1/12/2022,Supercopa de España,Away,W,3,2,Barcelona,José Luis Munuera,21/22,Victoria
Real Madrid CF,1/16/2022,Supercopa de España,Away,W,2,0,Athletic Club,César Soto,21/22,Victoria
Real Madrid CF,1/20/2022,Copa del Rey,Away,W,2,1,Elche,Jorge Figueroa,21/22,Victoria
Real Madrid CF,1/23/2022,La Liga,Home,D,2,2,Elche,Ricardo de Burgos,21/22,No Victoria
Real Madrid CF,2/3/2022,Copa del Rey,Away,L,0,1,Athletic Club,Jesús Gil,21/22,No Victoria
Real Madrid CF,2/6/2022,La Liga,Home,W,1,0,Granada,Antonio Matéu Lahoz,21/22,Victoria
Real Madrid CF,2/12/2022,La Liga,Away,D,0,0,Villarreal,José Sánchez,21/22,No Victoria
Real Madrid CF,2/15/2022,Champions Lg,Away,L,0,1,frParis S-G,Daniele Orsato,21/22,No Victoria
Real Madrid CF,2/19/2022,La Liga,Home,W,3,0,Alavés,José Luis Munuera,21/22,Victoria
Real Madrid CF,2/26/2022,La Liga,Away,W,1,0,Rayo Vallecano,Isidro Díaz de Mera,21/22,Victoria
Real Madrid CF,3/5/2022,La Liga,Home,W,4,1,Real Sociedad,Jesús Gil,21/22,Victoria
Real Madrid CF,3/9/2022,Champions Lg,Home,W,3,1,frParis S-G,Danny Makkelie,21/22,Victoria
Real Madrid CF,3/14/2022,La Liga,Away,W,3,0,Mallorca,José Sánchez,21/22,Victoria
Real Madrid CF,3/20/2022,La Liga,Home,L,0,4,Barcelona,Juan Martínez,21/22,No Victoria
Real Madrid CF,4/2/2022,La Liga,Away,W,2,1,Celta Vigo,Pablo González,21/22,Victoria
Real Madrid CF,4/6/2022,Champions Lg,Away,W,3,1,engChelsea,Clément Turpin,21/22,Victoria
Real Madrid CF,4/9/2022,La Liga,Home,W,2,0,Getafe,César Soto,21/22,Victoria
Real Madrid CF,4/12/2022,Champions Lg,Home,L,2,3,engChelsea,Szymon Marciniak,21/22,No Victoria
Real Madrid CF,4/17/2022,La Liga,Away,W,3,2,Sevilla,Guillermo Cuadra,21/22,Victoria
Real Madrid CF,4/20/2022,La Liga,Away,W,3,1,Osasuna,Ricardo de Burgos,21/22,Victoria
Real Madrid CF,4/26/2022,Champions Lg,Away,L,3,4,engManchester City,István Kovács,21/22,No Victoria
Real Madrid CF,4/30/2022,La Liga,Home,W,4,0,Espanyol,José Luis Munuera,21/22,Victoria
Real Madrid CF,5/4/2022,Champions Lg,Home,W,3,1,engManchester City,Daniele Orsato,21/22,Victoria
Real Madrid CF,5/8/2022,La Liga,Away,L,0,1,Atlético Madrid,César Soto,21/22,No Victoria
Real Madrid CF,5/12/2022,La Liga,Home,W,6,0,Levante,Adrián Cordero,21/22,Victoria
Real Madrid CF,5/15/2022,La Liga,Away,D,1,1,Cádiz,Antonio Matéu Lahoz,21/22,No Victoria
Real Madrid CF,5/20/2022,La Liga,Home,D,0,0,Betis,Santiago Jaime,21/22,No Victoria
Real Madrid CF,5/28/2022,Champions Lg,Neutral,W,1,0,engLiverpool,Clément Turpin,21/22,Victoria
